entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated,entityType
http://www.wikidata.org/entity/Q1773385,Goksjø,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3.403999,square kilometre,9,2024-04-08T11:45:40Z,,Lake
http://www.wikidata.org/entity/Q59137203,Store Saure,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.650175,square kilometre,0,2024-03-28T06:16:01Z,,Lake
http://www.wikidata.org/entity/Q585209,Gjende,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,15.638177,square kilometre,16,2024-04-06T19:10:38Z,,Lake
http://www.wikidata.org/entity/Q108143696,Egelsee und Egelseemoor,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,4.1559,hectare,0,2023-06-25T13:57:43Z,,Lake
http://www.wikidata.org/entity/Q2671770,Vaggatem,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,34.1697,square kilometre,10,2024-11-29T12:41:51Z,,Lake
http://www.wikidata.org/entity/Q108143693,Eglsee samt angrenzender Niedermoorflächen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,5.1523,hectare,0,2023-06-25T14:15:00Z,,Lake
http://www.wikidata.org/entity/Q108143635,Heratingersee in Eggelsberg,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,31.6288,hectare,0,2023-07-02T17:46:49Z,,Lake
http://www.wikidata.org/entity/Q1187394,West Lake,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,5.26,square kilometre,11,2024-11-26T23:37:50Z,,Lake
http://www.wikidata.org/entity/Q212209,Mjøsa,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,369.322128,square kilometre,44,2024-11-20T20:02:07Z,,Lake
http://www.wikidata.org/entity/Q21663634,Nedre Hellevatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,2.10508,square kilometre,3,2024-04-15T10:56:04Z,,Lake
http://www.wikidata.org/entity/Q2292979,Skredvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,5.747636,square kilometre,4,2024-04-13T08:13:52Z,,Lake
http://www.wikidata.org/entity/Q861703,Tinnsjå,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,51.561448,square kilometre,23,2024-04-04T20:46:51Z,,Lake
http://www.wikidata.org/entity/Q943484,Storsjøen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,48.0958,square kilometre,10,2023-10-30T18:26:22Z,,Lake
