entity,entityLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q172613,Teotihuacan,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-98.843888888,75,,2024-08-05T13:26:26Z
http://www.wikidata.org/entity/Q192541,Ctesiphon,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,44.580833,75,,2024-09-01T21:05:36Z
http://www.wikidata.org/entity/Q133575,Cave of Altacosa,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-4.11975,74,,2024-09-25T10:03:25Z
http://www.wikidata.org/entity/Q133575,Cave of Altacosa,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-4.11667,74,,2024-09-25T10:03:25Z
http://www.wikidata.org/entity/Q29317,Bagan,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,94.86,73,,2024-11-18T07:19:42Z
http://www.wikidata.org/entity/Q185562,Harappa,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,72.866666666,73,,2024-11-03T08:30:37Z
http://www.wikidata.org/entity/Q192981,Minaret of Jam,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,64.515888,73,,2024-09-16T06:54:59Z
http://www.wikidata.org/entity/Q178813,Herculaneum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,14.3475,72,,2024-10-14T13:47:32Z
http://www.wikidata.org/entity/Q48851673,Muzeum Miniaturowej Sztuki Profesjonalnej Henryk Jan Dominiak in Tychy,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,18.978027777,72,,2024-11-14T10:38:13Z
http://www.wikidata.org/entity/Q178813,Herculaneum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,14.3475,72,,2024-10-14T13:47:32Z
http://www.wikidata.org/entity/Q181172,Tikal,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-89.623613888,72,,2024-07-11T02:29:39Z
http://www.wikidata.org/entity/Q189616,Ellora Caves,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,75.179166666,72,,2024-11-19T16:38:41Z
http://www.wikidata.org/entity/Q5724,Anuradhapura,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,80.410833333,71,,2024-10-17T11:59:56Z
http://www.wikidata.org/entity/Q29962,Asyut,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,31.171388888,70,,2024-10-19T06:29:18Z
http://www.wikidata.org/entity/Q168518,Uruk,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,45.6374,70,,2024-11-12T11:51:58Z
http://www.wikidata.org/entity/Q169460,Miletus,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,27.275556,70,,2024-11-18T03:17:15Z
http://www.wikidata.org/entity/Q180212,Roman Forum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,12.4852,69,,2024-10-18T07:07:14Z
http://www.wikidata.org/entity/Q186312,Masada,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.353888888,69,,2024-11-04T03:42:50Z
http://www.wikidata.org/entity/Q216243,Nalanda Mahavihara,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,85.443827777,69,,2024-08-26T10:28:16Z
http://www.wikidata.org/entity/Q151952,Venus de Milo,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,2.337287873,69,,2024-11-05T22:24:07Z
http://www.wikidata.org/entity/Q181007,Hattusa,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,34.615277777,68,,2024-11-11T10:58:36Z
http://www.wikidata.org/entity/Q209217,Great Zimbabwe,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,30.933,68,,2024-10-16T16:54:14Z
http://www.wikidata.org/entity/Q185382,Trevi Fountain,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,12.483166666,68,,2024-11-15T14:10:24Z
http://www.wikidata.org/entity/Q71719,Hollywood Walk of Fame,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-118.344966666,68,,2024-09-07T15:59:09Z
http://www.wikidata.org/entity/Q179199,Guggenheim Museum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-2.934099,67,,2024-11-13T15:37:32Z
http://www.wikidata.org/entity/Q191739,Florence Cathedral,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,11.256944444,67,,2024-10-25T02:18:15Z
http://www.wikidata.org/entity/Q26732,Hampi,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,76.462162,67,,2024-06-06T11:35:54Z
http://www.wikidata.org/entity/Q44112,Cyrene,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,21.85,67,,2024-09-06T21:19:14Z
http://www.wikidata.org/entity/Q193093,Platonic Academy,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,23.708059,67,,2024-10-03T20:31:09Z
http://www.wikidata.org/entity/Q193325,Merv,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,62.1925,67,,2024-10-14T09:17:18Z
