person,personLabel,category,property,propertyLabel,startYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q65098,Theodor Eicke,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1909,http://www.wikidata.org/entity/Q82955,politician,40,,2024-11-14T07:46:33Z
http://www.wikidata.org/entity/Q65493,Paul Bronsart von Schellendorff,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1849,http://www.wikidata.org/entity/Q82955,politician,11,,2024-10-31T21:22:31Z
http://www.wikidata.org/entity/Q58030,Heinrich Müller,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1933,http://www.wikidata.org/entity/Q82955,politician,45,,2024-11-03T21:13:33Z
http://www.wikidata.org/entity/Q62769,Gerhard von Schwerin,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,17,,2024-10-13T14:52:26Z
http://www.wikidata.org/entity/Q61027,Max Hoffmann,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1887,http://www.wikidata.org/entity/Q82955,politician,26,,2024-10-24T01:23:37Z
http://www.wikidata.org/entity/Q61533,Fritz Fischer,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1934,http://www.wikidata.org/entity/Q82955,politician,22,,2024-08-20T10:14:42Z
http://www.wikidata.org/entity/Q58285,Alexandru Averescu,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1876,http://www.wikidata.org/entity/Q82955,politician,34,,2024-10-28T18:41:08Z
http://www.wikidata.org/entity/Q61115,Wilhelm Rediess,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1918,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-29T01:37:21Z
http://www.wikidata.org/entity/Q62012,Ernst Barkmann,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1936,http://www.wikidata.org/entity/Q82955,politician,18,,2024-11-09T17:34:33Z
http://www.wikidata.org/entity/Q62544,Alexander Kanoldt,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1908,http://www.wikidata.org/entity/Q82955,politician,17,,2024-12-08T03:59:08Z
http://www.wikidata.org/entity/Q58311,Avigdor Lieberman,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1978,http://www.wikidata.org/entity/Q82955,politician,55,,2024-11-07T16:37:51Z
http://www.wikidata.org/entity/Q60206,Ariel Sharon,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1945,http://www.wikidata.org/entity/Q82955,politician,119,,2024-11-26T11:24:38Z
http://www.wikidata.org/entity/Q62946,Richard Thomalla,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1932,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-24T01:39:56Z
http://www.wikidata.org/entity/Q66172,Erwin Rösener,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1920,http://www.wikidata.org/entity/Q82955,politician,19,,2024-11-29T01:59:43Z
http://www.wikidata.org/entity/Q58237,Floella Benjamin,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1968,http://www.wikidata.org/entity/Q82955,politician,12,,2024-10-12T09:00:34Z
http://www.wikidata.org/entity/Q64915,Heinz Kessler,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1938,http://www.wikidata.org/entity/Q82955,politician,25,,2024-10-27T07:48:02Z
http://www.wikidata.org/entity/Q58626,Karl Gebhardt,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1933,http://www.wikidata.org/entity/Q82955,politician,33,,2024-11-17T15:18:21Z
http://www.wikidata.org/entity/Q65831,Hans Hartwig von Beseler,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1868,http://www.wikidata.org/entity/Q82955,politician,25,,2024-12-08T15:10:30Z
http://www.wikidata.org/entity/Q60805,Rinat Akhmetov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1995,http://www.wikidata.org/entity/Q82955,politician,39,,2024-11-30T12:01:44Z
http://www.wikidata.org/entity/Q62610,Herbert Otto Gille,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1910,http://www.wikidata.org/entity/Q82955,politician,25,,2024-10-16T11:30:50Z
http://www.wikidata.org/entity/Q58009,Wilhelm Stuckart,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1933,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-29T02:32:19Z
http://www.wikidata.org/entity/Q61025,Josef Blösche,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1938,http://www.wikidata.org/entity/Q82955,politician,19,,2024-10-13T14:48:16Z
http://www.wikidata.org/entity/Q58776,Julius Schaub,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1917,http://www.wikidata.org/entity/Q82955,politician,27,,2024-11-29T03:37:10Z
http://www.wikidata.org/entity/Q65460,Joseph von Radowitz,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1820,http://www.wikidata.org/entity/Q82955,politician,17,,2024-11-17T23:34:23Z
http://www.wikidata.org/entity/Q60128,Alexander Fadeyev,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1923,http://www.wikidata.org/entity/Q82955,politician,44,,2024-12-01T16:32:04Z
http://www.wikidata.org/entity/Q63890,Bernd Heynemann,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1980,http://www.wikidata.org/entity/Q82955,politician,13,,2024-10-24T01:46:14Z
http://www.wikidata.org/entity/Q61000,Karl Eberhard Schöngarth,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1924,http://www.wikidata.org/entity/Q82955,politician,20,,2024-08-20T11:48:36Z
http://www.wikidata.org/entity/Q62718,Hubert Lanz,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,17,,2024-10-24T01:37:38Z
http://www.wikidata.org/entity/Q67637,Konrad Wolf,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1955,http://www.wikidata.org/entity/Q82955,politician,21,,2024-12-08T04:08:09Z
http://www.wikidata.org/entity/Q58681,Oskar Dirlewanger,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,35,,2024-11-15T12:20:36Z
http://www.wikidata.org/entity/Q61474,Karl Friedrich von Steinmetz,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1813,http://www.wikidata.org/entity/Q82955,politician,21,,2024-12-08T17:19:26Z
http://www.wikidata.org/entity/Q61022,Maximilian von Prittwitz,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1866,http://www.wikidata.org/entity/Q82955,politician,27,,2024-07-05T16:54:29Z
http://www.wikidata.org/entity/Q60680,Alfred von Waldersee,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1850,http://www.wikidata.org/entity/Q82955,politician,28,,2024-12-08T07:11:27Z
http://www.wikidata.org/entity/Q60131,Max Amann,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1912,http://www.wikidata.org/entity/Q82955,politician,29,,2024-12-07T18:39:03Z
http://www.wikidata.org/entity/Q62963,Heinz Hoffmann,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1949,http://www.wikidata.org/entity/Q82955,politician,21,,2024-10-26T12:14:40Z
http://www.wikidata.org/entity/Q66130,"Prince Wilhelm, 5th Prince of Wied",Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1860,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-26T12:23:48Z
http://www.wikidata.org/entity/Q53037,Ettore Scola,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1953,http://www.wikidata.org/entity/Q82955,politician,41,,2024-12-08T03:45:59Z
http://www.wikidata.org/entity/Q48149,Fyodor Ivanovich Tolbukhin,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,44,,2024-10-13T07:47:27Z
http://www.wikidata.org/entity/Q44279,Oliver Cromwell,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1643,http://www.wikidata.org/entity/Q82955,politician,115,,2024-12-08T03:38:07Z
http://www.wikidata.org/entity/Q31793,Franz Xaver Schwarz,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1894,http://www.wikidata.org/entity/Q82955,politician,26,,2024-11-09T12:34:30Z
http://www.wikidata.org/entity/Q57133,Kurt von Schleicher,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1900,http://www.wikidata.org/entity/Q82955,politician,62,,2024-10-23T22:36:57Z
http://www.wikidata.org/entity/Q48100,Nikolay Ivanovich Krylov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1919,http://www.wikidata.org/entity/Q82955,politician,32,,2024-07-15T19:56:17Z
http://www.wikidata.org/entity/Q45917,Mohamed Hussein Tantawi,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1956,http://www.wikidata.org/entity/Q82955,politician,48,,2024-10-31T23:17:20Z
http://www.wikidata.org/entity/Q44205,Helmuth von Moltke the Elder,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1819,http://www.wikidata.org/entity/Q82955,politician,69,,2024-12-08T16:02:03Z
http://www.wikidata.org/entity/Q48129,Vasily Blyukher,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,49,,2024-12-01T03:47:48Z
http://www.wikidata.org/entity/Q57328,Karl Hermann Frank,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1918,http://www.wikidata.org/entity/Q82955,politician,37,,2024-10-23T22:39:53Z
http://www.wikidata.org/entity/Q48032,Vasily Sokolovsky,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1918,http://www.wikidata.org/entity/Q82955,politician,42,,2024-11-17T13:10:10Z
http://www.wikidata.org/entity/Q55636,Miguel Hidalgo y Costilla,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1810,http://www.wikidata.org/entity/Q82955,politician,58,,2024-11-23T07:25:20Z
