person,personLabel,category,property,propertyLabel,endYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q739358,V. Volodarsky,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1918,http://www.wikidata.org/entity/Q82955,politician,16,,2024-09-26T10:42:22Z
http://www.wikidata.org/entity/Q337691,"Thomas Brassey, 1st Earl Brassey",Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1918,http://www.wikidata.org/entity/Q82955,politician,11,,2024-10-13T18:48:12Z
http://www.wikidata.org/entity/Q70618,Harry Graf Kessler,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1927,http://www.wikidata.org/entity/Q82955,politician,15,,2024-12-08T04:12:30Z
http://www.wikidata.org/entity/Q4195335,Ibrahim Bek,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1931,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-05T15:57:39Z
http://www.wikidata.org/entity/Q353309,Włodzimierz Tetmajer,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1923,http://www.wikidata.org/entity/Q82955,politician,13,,2024-12-06T15:23:01Z
http://www.wikidata.org/entity/Q572091,Giacomo Boni,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1925,http://www.wikidata.org/entity/Q82955,politician,13,,2024-10-11T14:38:35Z
http://www.wikidata.org/entity/Q2357137,Eligio Ayala,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1930,http://www.wikidata.org/entity/Q82955,politician,20,,2024-11-15T23:57:53Z
http://www.wikidata.org/entity/Q652723,Georges Lacombe,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1916,http://www.wikidata.org/entity/Q483501,artist,17,,2024-11-13T15:30:49Z
http://www.wikidata.org/entity/Q318391,Abel Bonnard,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q82955,politician,25,,2024-12-08T05:28:31Z
http://www.wikidata.org/entity/Q271814,Giovanni Verga,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1922,http://www.wikidata.org/entity/Q82955,politician,55,,2024-12-08T05:09:49Z
