person,personLabel,category,property,propertyLabel,value,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q3162959,Jason Kenney,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,13,,2024-09-19T13:43:40Z
http://www.wikidata.org/entity/Q57329,Danilo Türk,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,58,,2024-10-23T22:39:54Z
http://www.wikidata.org/entity/Q50835,Regina Ip,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,11,,2024-10-30T00:05:22Z
http://www.wikidata.org/entity/Q49941,Ilona Staller,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,52,,2024-11-17T22:32:14Z
http://www.wikidata.org/entity/Q57618,Artur Rasizade,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,51,,2024-11-20T12:51:25Z
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-27T03:24:44Z
http://www.wikidata.org/entity/Q2464985,Sigismund Korybut,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,19,,2024-10-01T13:17:53Z
http://www.wikidata.org/entity/Q298991,John Nance Garner,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,61,,2024-10-28T23:14:44Z
http://www.wikidata.org/entity/Q1703679,Theresa of Portugal,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,18,,2024-10-09T08:25:25Z
http://www.wikidata.org/entity/Q22237,Amy Klobuchar,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,48,,2024-11-30T15:20:13Z
http://www.wikidata.org/entity/Q45380,John Lewis,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,43,,2024-11-07T21:31:59Z
http://www.wikidata.org/entity/Q701087,Archduke Alexander Leopold of Austria,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,18,,2024-12-02T13:44:55Z
http://www.wikidata.org/entity/Q35286,Warren G. Harding,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,140,,2024-11-10T03:37:59Z
http://www.wikidata.org/entity/Q295390,Jane Byrne,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-21T07:44:36Z
http://www.wikidata.org/entity/Q18111,Li Keqiang,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,96,,2024-10-29T16:37:48Z
http://www.wikidata.org/entity/Q41267,Soraya Sáenz de Santamaría,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,36,,2024-10-23T22:04:44Z
http://www.wikidata.org/entity/Q302620,Mark Durkan,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,13,,2024-10-28T23:18:03Z
http://www.wikidata.org/entity/Q44371,Valentina Tereshkova,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,120,,2024-12-01T10:13:14Z
http://www.wikidata.org/entity/Q310852,Schuyler Colfax,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,52,,2024-11-14T00:33:57Z
http://www.wikidata.org/entity/Q65536,Harald Ringstorff,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-18T12:47:02Z
http://www.wikidata.org/entity/Q57676,Hermann Fegelein (SS General),Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,37,,2024-12-08T03:51:29Z
