event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified,entityType
http://www.wikidata.org/entity/Q1352316,1978 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,347,15,,2024-11-27T14:33:46Z,Sports Event
http://www.wikidata.org/entity/Q1209340,2007 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,16,,2024-11-21T17:32:43Z,Sports Event
http://www.wikidata.org/entity/Q1316527,2016 Asian Beach Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,43,14,,2024-03-31T01:46:33Z,Sports Event
http://www.wikidata.org/entity/Q1116532,1994 Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2557,18,,2024-07-31T10:38:33Z,Sports Event
http://www.wikidata.org/entity/Q1144097,2011 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,11,17,,2024-11-21T17:32:46Z,Sports Event
http://www.wikidata.org/entity/Q1151375,1985 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2783,18,,2024-09-12T09:02:48Z,Sports Event
http://www.wikidata.org/entity/Q1202215,1970 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,591,16,,2023-10-25T14:51:15Z,Sports Event
http://www.wikidata.org/entity/Q1135280,1997 Pan Arab Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3253,7,,2024-03-31T01:43:13Z,Sports Event
http://www.wikidata.org/entity/Q1199378,1977 Summer Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,2939,21,,2024-08-24T13:30:52Z,Sports Event
http://www.wikidata.org/entity/Q1193994,1960 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,145,19,,2024-07-27T01:19:31Z,Sports Event
http://www.wikidata.org/entity/Q1370021,1995 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3262,15,,2024-11-21T17:32:36Z,Sports Event
http://www.wikidata.org/entity/Q26721510,1996 Liga Sudamericana de Básquetbol,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,16,3,,2023-12-24T20:00:57Z,Sports Event
http://www.wikidata.org/entity/Q549823,2011 Pacific Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,22,14,,2024-07-24T11:41:21Z,Sports Event
http://www.wikidata.org/entity/Q12252639,Q12252639,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,30,1,,2023-12-03T18:05:24Z,Sports Event
http://www.wikidata.org/entity/Q17492224,gymnastics at the 2014 Commonwealth Games – women's artistic individual all-around,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,24,1,,2022-09-24T03:50:20Z,Sports Event
http://www.wikidata.org/entity/Q965250,2001 Southeast Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,10,16,,2024-11-21T17:32:35Z,Sports Event
http://www.wikidata.org/entity/Q1054455,2011 Winter Universiade,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1880,23,,2023-03-13T17:17:46Z,Sports Event
http://www.wikidata.org/entity/Q63714,1955 Mediterranean Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1135,24,,2024-07-24T20:55:35Z,Sports Event
http://www.wikidata.org/entity/Q729371,1966 Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1945,31,,2024-08-22T14:59:32Z,Sports Event
http://www.wikidata.org/entity/Q17639483,Q17639483,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,64,1,,2023-05-27T22:48:59Z,Sports Event
http://www.wikidata.org/entity/Q24256805,Q24256805,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,16,1,,2021-04-26T15:34:25Z,Sports Event
http://www.wikidata.org/entity/Q919207,1966 British Empire and Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1316,15,,2024-07-01T04:19:15Z,Sports Event
http://www.wikidata.org/entity/Q729484,1978 Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,3842,30,,2024-08-22T15:00:25Z,Sports Event
http://www.wikidata.org/entity/Q919076,1970 British Commonwealth Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1744,16,,2024-09-15T16:15:57Z,Sports Event
http://www.wikidata.org/entity/Q729312,1958 Asian Games,Sports,http://www.wikidata.org/prop/direct/P1132,http://www.wikidata.org/prop/direct/P1132,1820,32,,2024-08-22T14:59:29Z,Sports Event
