player,playerLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q27876,Víctor Pérez Alonso,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,177,centimetre,16
http://www.wikidata.org/entity/Q10520,David Beckham,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,133
http://www.wikidata.org/entity/Q227025,Zoubeir Baya,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,176,centimetre,21
http://www.wikidata.org/entity/Q292507,Becky Sauerbrunn,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,170,centimetre,28
http://www.wikidata.org/entity/Q10724,Jonathan Hogg,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,170,centimetre,24
http://www.wikidata.org/entity/Q288069,Javad Kazemian,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,20
http://www.wikidata.org/entity/Q212223,Andrés Palop,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,184,centimetre,42
http://www.wikidata.org/entity/Q10864,Karen Bardsley,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,1.82,metre,24
http://www.wikidata.org/entity/Q128419,Wolfgang de Beer,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,13
http://www.wikidata.org/entity/Q93389,Jonas Meffert,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,186,centimetre,10
http://www.wikidata.org/entity/Q10916,Toni Duggan,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,168,centimetre,25
http://www.wikidata.org/entity/Q10905,Eniola Aluko,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,159,centimetre,28
http://www.wikidata.org/entity/Q122350,Ludovic Magnin,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,39
http://www.wikidata.org/entity/Q26315,Željko Milinovič,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,189,centimetre,44
http://www.wikidata.org/entity/Q1916,Patrice Evra,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,69
http://www.wikidata.org/entity/Q10560,Freddie Ljungberg,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,175,centimetre,64
http://www.wikidata.org/entity/Q11584,Iker Casillas,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,97
http://www.wikidata.org/entity/Q26536,Álex Fernández,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,22
http://www.wikidata.org/entity/Q39444,Ronaldinho,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,181,centimetre,107
http://www.wikidata.org/entity/Q10736,Ikechi Anya,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,170,centimetre,20
http://www.wikidata.org/entity/Q93563,Luke Shaw,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,178,centimetre,64
http://www.wikidata.org/entity/Q25463,Mohamed Youssouf,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,169,centimetre,17
http://www.wikidata.org/entity/Q128791,Pavel Krmaš,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,193,centimetre,13
