venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q3625090,Hristo Botev Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,7500,1,9,,2024-10-19T11:06:04Z
http://www.wikidata.org/entity/Q1570192,Čair Sports Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5000,1,13,,2024-11-01T18:40:40Z
http://www.wikidata.org/entity/Q1362211,Arena Cidade da Copa,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,45440,1,42,,2024-04-25T19:00:45Z
http://www.wikidata.org/entity/Q517545,Nationals Park,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,41888,1,23,,2024-09-17T06:55:49Z
http://www.wikidata.org/entity/Q2408913,Estadio Víctor Agustín Ugarte,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,32000,1,9,,2024-08-03T23:37:19Z
http://www.wikidata.org/entity/Q1388701,Pitbull Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20000,1,13,,2024-10-28T22:53:35Z
http://www.wikidata.org/entity/Q3544993,Stadionul Tudor Vladimirescu,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,9200,1,6,,2023-05-31T08:55:27Z
http://www.wikidata.org/entity/Q1369675,Estádio do Fontelo,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12000,1,6,,2024-04-16T08:20:29Z
http://www.wikidata.org/entity/Q1579227,Adrar Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,42000,1,21,,2024-09-29T16:37:21Z
http://www.wikidata.org/entity/Q1587879,Harvard Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,30323,1,12,,2024-11-16T21:01:19Z
http://www.wikidata.org/entity/Q1640118,Michigan Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,82000,1,26,,2024-10-01T20:07:38Z
http://www.wikidata.org/entity/Q1165024,Winnipeg Arena,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10100,1,6,,2024-05-22T23:12:11Z
http://www.wikidata.org/entity/Q3545125,Fazisi Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,6000,1,7,,2024-05-18T11:08:22Z
http://www.wikidata.org/entity/Q1640118,Michigan Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,107601,1,26,,2024-10-01T20:07:38Z
http://www.wikidata.org/entity/Q2289928,Sir John Guise Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5000,1,8,,2024-06-23T04:47:22Z
http://www.wikidata.org/entity/Q1147565,Stade du Pays de Charleroi,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,14891,1,24,,2024-09-25T12:37:47Z
http://www.wikidata.org/entity/Q2306600,No. 1 Court,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11430,1,10,,2024-07-09T12:19:10Z
http://www.wikidata.org/entity/Q1570942,Tacoma Dome,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,5000,1,9,,2024-09-29T15:20:58Z
http://www.wikidata.org/entity/Q1594708,Tiger Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,102321,1,11,,2024-11-24T10:17:30Z
http://www.wikidata.org/entity/Q1613767,Kenilworth Road,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,10356,1,22,,2024-08-15T11:16:54Z
http://www.wikidata.org/entity/Q598070,Alumni Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,44500,1,6,,2024-11-15T09:30:15Z
http://www.wikidata.org/entity/Q1347442,Moda Center,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,20636,1,29,,2024-09-21T08:35:34Z
http://www.wikidata.org/entity/Q612736,Lumen Field,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,67000,1,35,,2024-09-29T14:04:01Z
http://www.wikidata.org/entity/Q612736,Lumen Field,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,72000,1,35,,2024-09-29T14:04:01Z
http://www.wikidata.org/entity/Q1396145,Stade Louis Dugauguez,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,23189,1,9,,2024-05-19T18:02:55Z
