entity,entityLabel,category,property,propertyLabel,value,currencyLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q165325,Kill Bill: Volume 1,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,180906076,United States dollar,54,,2024-11-06T11:50:54Z
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,259200000,United States dollar,37,,2024-11-12T12:38:21Z
http://www.wikidata.org/entity/Q213411,Cast Away,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,429632142,United States dollar,67,,2024-11-07T16:02:12Z
http://www.wikidata.org/entity/Q392924,Airport 1975,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,103000000,United States dollar,22,,2024-12-04T10:57:29Z
http://www.wikidata.org/entity/Q153723,Inglourious Basterds,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,321457747,United States dollar,78,,2024-11-19T08:53:17Z
http://www.wikidata.org/entity/Q714721,The Muppet Christmas Carol,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,32958603,United States dollar,23,,2024-12-05T18:57:08Z
http://www.wikidata.org/entity/Q181069,Star Wars: Episode II – Attack of the Clones,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,649436358,United States dollar,81,,2024-11-28T14:31:09Z
http://www.wikidata.org/entity/Q2410942,The Doorway to Hell,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,688000,United States dollar,10,,2024-10-18T09:02:18Z
http://www.wikidata.org/entity/Q464014,Lara Croft: Tomb Raider,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,274703340,United States dollar,48,,2024-11-06T09:52:27Z
http://www.wikidata.org/entity/Q488655,Groundhog Day,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,105000000,United States dollar,61,,2024-12-06T07:07:53Z
http://www.wikidata.org/entity/Q466101,La Haine,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,15300000,United States dollar,36,,2024-11-18T10:51:56Z
http://www.wikidata.org/entity/Q318766,The Terminal,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,219417255,United States dollar,60,,2024-11-19T11:58:36Z
http://www.wikidata.org/entity/Q277157,Cloudy with a Chance of Meatballs 2,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,274325949,United States dollar,39,,2024-12-02T00:19:32Z
http://www.wikidata.org/entity/Q909802,The Punisher,Entertainment,http://www.wikidata.org/prop/direct/P2142,http://www.wikidata.org/prop/direct/P2142,54700105,United States dollar,37,,2024-11-18T10:40:28Z
