entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q13604,Rho Cassiopeiae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,40,solar mass,26
http://www.wikidata.org/entity/Q13105,Mimosa,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,16,solar mass,40
http://www.wikidata.org/entity/Q13790,Alpha Persei,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,7.3,solar mass,37
http://www.wikidata.org/entity/Q14265,51 Pegasi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.2,solar mass,38
http://www.wikidata.org/entity/Q14265,51 Pegasi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.03,solar mass,38
http://www.wikidata.org/entity/Q14055,Rho Puppis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.85,solar mass,20
http://www.wikidata.org/entity/Q14029,Iota Orionis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.236,solar mass,33
http://www.wikidata.org/entity/Q194349,15 Sagittae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.1,solar mass,11
http://www.wikidata.org/entity/Q327757,super-Earth,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,10,Earth mass,42
http://www.wikidata.org/entity/Q327757,super-Earth,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1,Earth mass,42
http://www.wikidata.org/entity/Q327757,super-Earth,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,5,Earth mass,42
http://www.wikidata.org/entity/Q327757,super-Earth,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.9,Earth mass,42
http://www.wikidata.org/entity/Q14040,Lambda Sagittarii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.6,solar mass,22
http://www.wikidata.org/entity/Q169016,109 Piscium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.13,solar mass,19
http://www.wikidata.org/entity/Q14061,Gamma Ursae Minoris,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,8.3,solar mass,27
http://www.wikidata.org/entity/Q216257,23 Librae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.07,solar mass,16
http://www.wikidata.org/entity/Q83782,HD 82943,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.18,solar mass,12
http://www.wikidata.org/entity/Q216257,23 Librae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.075,solar mass,16
http://www.wikidata.org/entity/Q284836,91 Aquarii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.74,solar mass,19
http://www.wikidata.org/entity/Q1036361,Sigma Scorpii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,10.3,solar mass,20
http://www.wikidata.org/entity/Q1111607,109 Piscium b,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,6.77,Jupiter mass,15
http://www.wikidata.org/entity/Q845609,Q845609,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.92,solar mass,15
http://www.wikidata.org/entity/Q1111607,109 Piscium b,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,5.743,Jupiter mass,15
http://www.wikidata.org/entity/Q912296,Pi¹ Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.9,solar mass,14
http://www.wikidata.org/entity/Q1049627,19 Puppis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.05,solar mass,30
http://www.wikidata.org/entity/Q1326545,Zeta Trianguli Australis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.12,solar mass,15
http://www.wikidata.org/entity/Q1329437,Ross 614,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.33,solar mass,22
http://www.wikidata.org/entity/Q753574,LBV 1806-20,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,165,solar mass,26
http://www.wikidata.org/entity/Q1140856,Gliese 777,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.96,solar mass,21
http://www.wikidata.org/entity/Q1327573,TW Piscis Austrini,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.81,Earth mass,18
http://www.wikidata.org/entity/Q1366043,AU Microscopii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.5,solar mass,20
http://www.wikidata.org/entity/Q1366043,AU Microscopii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.31,solar mass,20
http://www.wikidata.org/entity/Q938829,Zeta Leporis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.46,solar mass,16
http://www.wikidata.org/entity/Q1045802,Noquisi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.452,solar mass,25
http://www.wikidata.org/entity/Q262076,70 Virginis,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.92,solar mass,22
