entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q287832,AB Pictoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,38000,centimetre per square second,16
http://www.wikidata.org/entity/Q324755,Q324755,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,22860,centimetre per square second,10
http://www.wikidata.org/entity/Q617234,Q617234,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,30000,centimetre per square second,9
http://www.wikidata.org/entity/Q15706,Delta Cancri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,370,centimetre per square second,21
http://www.wikidata.org/entity/Q15820,Tau Ceti,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,34040,centimetre per square second,46
http://www.wikidata.org/entity/Q926610,Ross 128,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,118000,centimetre per square second,34
http://www.wikidata.org/entity/Q586183,Q586183,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,26300,centimetre per square second,12
http://www.wikidata.org/entity/Q3597406,13 Monocerotis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,140,centimetre per square second,8
http://www.wikidata.org/entity/Q15821,Iota Ceti,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,126,centimetre per square second,16
http://www.wikidata.org/entity/Q4042141,Q4042141,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,13100,centimetre per square second,7
http://www.wikidata.org/entity/Q576471,Q576471,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,37000,centimetre per square second,9
http://www.wikidata.org/entity/Q4042136,Kepler-17,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,27600,centimetre per square second,10
http://www.wikidata.org/entity/Q4042008,Q4042008,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,6500,centimetre per square second,8
http://www.wikidata.org/entity/Q676853,Nu Capricorni,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,3.16,centimetre per square second,15
http://www.wikidata.org/entity/Q403288,Kepler-36,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,12760,centimetre per square second,11
http://www.wikidata.org/entity/Q4039970,HIP 57050,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,76000,centimetre per square second,8
http://www.wikidata.org/entity/Q282389,Q282389,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,17800,centimetre per square second,10
http://www.wikidata.org/entity/Q851182,Buna,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,10960,centimetre per square second,12
http://www.wikidata.org/entity/Q14265,51 Pegasi,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,20750,centimetre per square second,38
http://www.wikidata.org/entity/Q405857,Epsilon Tauri,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,540,centimetre per square second,24
