entity,entityLabel,category,property,propertyLabel,value,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q66605783,Q66605783,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,216,http://www.wikidata.org/entity/Q84216540,Bernard Hermes,1,,2023-06-05T20:44:40Z
http://www.wikidata.org/entity/Q79356828,L'Anarchisme,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,128,http://www.wikidata.org/entity/Q3130577,Henri Arvon,1,,2022-12-13T15:44:01Z
http://www.wikidata.org/entity/Q76988480,America's Highways 1776–1976,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,553,http://www.wikidata.org/entity/Q800112,Federal Highway Administration,1,,2022-05-16T13:00:20Z
http://www.wikidata.org/entity/Q78222031,Fidel en zijn kameraadjes,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,8,http://www.wikidata.org/entity/Q15881199,Reinoudina de Goeje,1,,2022-11-27T14:06:43Z
http://www.wikidata.org/entity/Q65396769,Balaura,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,107,http://www.wikidata.org/entity/Q62765052,Gurpreet Sehji,1,,2022-09-08T07:28:22Z
http://www.wikidata.org/entity/Q20097093,"Ukraïnsʹki kobzari, bandurysty, lirnyky : ent︠s︡yklopedychnyĭ dovidnyk",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,315,http://www.wikidata.org/entity/Q12104431,Bohdan Zheplynskyi,1,,2022-11-27T01:11:37Z
http://www.wikidata.org/entity/Q12547613,Q12547613,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,280,,,1,,2024-10-02T14:40:28Z
http://www.wikidata.org/entity/Q11314263,Sexy Travel,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,287,http://www.wikidata.org/entity/Q11554763,Izumi Daihachi,1,,2022-09-15T12:17:17Z
http://www.wikidata.org/entity/Q2292040,The Skeptic's Dictionary,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,458,http://www.wikidata.org/entity/Q73356,Robert Todd Carroll,14,,2024-03-22T02:02:08Z
http://www.wikidata.org/entity/Q20097093,"Ukraïnsʹki kobzari, bandurysty, lirnyky : ent︠s︡yklopedychnyĭ dovidnyk",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,315,http://www.wikidata.org/entity/Q20067610,Dariia Kovalchuk,1,,2022-11-27T01:11:37Z
http://www.wikidata.org/entity/Q65396769,Balaura,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,112,http://www.wikidata.org/entity/Q62765052,Gurpreet Sehji,1,,2022-09-08T07:28:22Z
http://www.wikidata.org/entity/Q2904447,Birds of South Asia. The Ripley Guide,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,536,http://www.wikidata.org/entity/Q6224263,John C. Anderton,3,,2024-01-27T04:38:34Z
http://www.wikidata.org/entity/Q18203766,Play unconventional chess and win,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,392,http://www.wikidata.org/entity/Q108460641,Zeev Zohar,1,,2022-08-28T18:32:34Z
http://www.wikidata.org/entity/Q12072694,The Encyclopedia of Mineralogy,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,794,,,1,,2022-07-01T10:51:05Z
http://www.wikidata.org/entity/Q42392037,Orthoepic Dictionary of the Belarusian Language,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,757,,,1,,2021-06-01T21:21:29Z
http://www.wikidata.org/entity/Q30527742,Q30527742,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,92,http://www.wikidata.org/entity/Q160263,David Grossman,2,,2024-10-10T02:14:59Z
http://www.wikidata.org/entity/Q62554953,Autobiografia não Autorizada,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,288,http://www.wikidata.org/entity/Q7105977,Oscar Filho,1,,2023-09-14T20:19:08Z
http://www.wikidata.org/entity/Q5862965,Flore d'Oware,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,464,http://www.wikidata.org/entity/Q458941,Palisot de Beauvois,3,,2023-03-09T16:27:29Z
http://www.wikidata.org/entity/Q4378679,Q4378679,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,593,http://www.wikidata.org/entity/Q1151126,Nicolas Grimal,1,,2022-04-14T18:31:28Z
http://www.wikidata.org/entity/Q29029189,Sifre de-agadeta ʻal megilat Ester,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,112,,,1,,2024-10-01T23:55:45Z
http://www.wikidata.org/entity/Q81491862,"The Book of Inventions, Commerce and Industries; Volume II",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,584,,,1,,2023-02-04T14:14:17Z
http://www.wikidata.org/entity/Q11564195,Q11564195,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,316,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2023-08-29T10:07:01Z
http://www.wikidata.org/entity/Q3085376,"François Mitterrand, un dessein, un destin",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,168,http://www.wikidata.org/entity/Q560682,Hubert Védrine,1,,2022-11-27T01:06:29Z
http://www.wikidata.org/entity/Q81736901,Oídos sordos,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,150,http://www.wikidata.org/entity/Q6075859,Pilar Sordo,1,,2022-04-13T23:57:03Z
http://www.wikidata.org/entity/Q12182671,Iran over the Volcano,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,185,http://www.wikidata.org/entity/Q735036,Mohamed Hassanein Heikal,2,,2023-02-11T21:26:21Z
http://www.wikidata.org/entity/Q23540909,The Autobiography of an African Princess,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,274,,,2,,2022-11-20T12:54:33Z
http://www.wikidata.org/entity/Q12836885,Q12836885,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,288,http://www.wikidata.org/entity/Q12847361,Q12847361,1,,2024-01-12T08:57:58Z
http://www.wikidata.org/entity/Q13037303,Q13037303,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,23,http://www.wikidata.org/entity/Q47007,Naim Frashëri,2,,2021-07-20T10:40:25Z
http://www.wikidata.org/entity/Q11626890,Q11626890,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,261,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2024-11-21T09:50:30Z
